nom,mean_wind_nrj_pdt,mean_solar_nrj_pdt,diff wind - solar,total
PACA,4480.457697990544,2689.085309946989,1791.372388043555,7169.543007937533
Occitanie,4548.433251921606,2412.9858777983623,2135.4473741232437,6961.419129719969
Auvergne-Rhone-Alpes,3993.823827409169,2234.8409566496716,1758.9828707594975,6228.664784058841
Centre-Val de Loire,3869.7663287135924,2259.31838102914,1610.4479476844526,6129.084709742732
Grand-Est,3627.5693259841705,2457.919697458743,1169.6496285254275,6085.489023442913
Normandie,3906.6059993198796,1976.0698766408761,1930.5361226790035,5882.675875960756
Pays-de-la-Loire,3570.469043623469,2135.860869337753,1434.6081742857164,5706.329912961222
Hauts-de-France,3713.7977692020922,1990.5667883581148,1723.2309808439775,5704.364557560207
Nouvelle-Aquitaine,3256.878877421061,2363.8772332919166,893.0016441291446,5620.756110712978
Bretagne,3461.9702658321535,2064.6205005798706,1397.3497652522829,5526.590766412024
Bourgogne-Franche-Comte,3302.0521489216003,2134.3800970397547,1167.6720518818456,5436.432245961355
Ile-de-France,3156.2461444308447,1722.9360512306382,1433.3100932002064,4879.182195661483
